month,standard_job,skill,kg_display_skill,monthly_jd_count,monthly_skill_count,monthly_skill_frequency,cumulative_jd_count,cumulative_skill_count,cumulative_skill_frequency,snapshot_skill_status,is_core_skill,rank_in_month,updated_at
2024-10,政府信息系统运维岗,通信工程,通信与电子技术,246,19,0.077236,355,37,0.104225,当月活跃技能,0,11,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,人工智能,智能化技术,230,23,0.1,585,26,0.044444,当月活跃技能,0,15,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,信息化建设,政务信息化,230,1,0.004348,585,1,0.001709,当月活跃技能,0,19,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,信息安全,网络与安全,230,98,0.426087,585,211,0.360684,稳定核心技能,1,5,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,信息管理与信息系统,政务信息化,230,27,0.117391,585,27,0.046154,当月活跃技能,0,12,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,信息系统,政务信息化,230,222,0.965217,585,565,0.965812,稳定核心技能,1,3,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,大数据管理与应用,政务信息化,230,27,0.117391,585,27,0.046154,当月活跃技能,0,13,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,数据分析,数据与统计,230,2,0.008696,585,2,0.003419,当月活跃技能,0,18,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,数据科学与大数据技术,数据与统计,230,87,0.378261,585,130,0.222222,当月活跃技能,0,7,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,数据管理,数据与统计,230,27,0.117391,585,27,0.046154,当月活跃技能,0,14,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,物联网工程,智能化技术,230,41,0.178261,585,92,0.157265,当月活跃技能,0,11,2026-08-06T03:30:35+00:00
2025-10,政府信息系统运维岗,电子信息,通信与电子技术,230,82,0.356522,585,151,0.25812,稳定核心技能,1,8,2026-08-06T03:30:35+00:00
